"Date" "NHSBoard" "TotalAttendances" "Within4Hours" "Over4Hours" "Over8Hours" "Over12Hours"
"406" 2009-11-30 "NHS Western Isles" 653 631 22 0 0
"407" 2009-12-31 "NHS Ayrshire & Arran" 9203 9066 137 0 0
"408" 2009-12-31 "NHS Borders" 2024 1952 72 0 0
"409" 2009-12-31 "NHS Dumfries & Galloway" 4110 3905 205 6 0
"410" 2009-12-31 "NHS Fife" 6831 6614 217 11 1
"411" 2009-12-31 "NHS Forth Valley" 5841 5646 195 4 0
"412" 2009-12-31 "NHS Grampian" 11508 11203 305 25 5
"413" 2009-12-31 "NHS Greater Glasgow & Clyde" 37526 36489 1037 22 1
"414" 2009-12-31 "NHS Highland" 6881 6781 100 1 0
"415" 2009-12-31 "NHS Lanarkshire" 15691 15405 286 2 0
"416" 2009-12-31 "NHS Lothian" 19347 18324 1023 113 15
"417" 2009-12-31 "NHS Orkney" 274 273 1 * *
"418" 2009-12-31 "NHS Shetland" 680 677 3 0 0
"419" 2009-12-31 "NHS Tayside" 9042 8971 71 1 0
"420" 2009-12-31 "NHS Western Isles" 632 624 8 0 0
"421" 2010-01-31 "NHS Ayrshire & Arran" 8855 8562 293 10 0
"422" 2010-01-31 "NHS Borders" 1762 1707 55 1 0
"423" 2010-01-31 "NHS Dumfries & Galloway" 4117 3912 205 11 0
"424" 2010-01-31 "NHS Fife" 6787 6585 202 25 2
"425" 2010-01-31 "NHS Forth Valley" 5892 5617 275 9 0
"426" 2010-01-31 "NHS Grampian" 10513 10171 342 42 16
"427" 2010-01-31 "NHS Greater Glasgow & Clyde" 37818 36105 1713 139 1
"428" 2010-01-31 "NHS Highland" 6779 6629 150 9 1
"429" 2010-01-31 "NHS Lanarkshire" 14784 14580 204 20 0
"430" 2010-01-31 "NHS Lothian" 18386 16889 1497 207 26
"431" 2010-01-31 "NHS Orkney" 235 233 2 * *
"432" 2010-01-31 "NHS Shetland" 648 645 3 0 0
"433" 2010-01-31 "NHS Tayside" 8586 8499 87 1 0
"434" 2010-01-31 "NHS Western Isles" 639 627 12 0 0
"435" 2010-02-28 "NHS Ayrshire & Arran" 8231 7942 289 17 2
"436" 2010-02-28 "NHS Borders" 1805 1680 125 4 1
"437" 2010-02-28 "NHS Dumfries & Galloway" 3585 3429 156 4 1
"438" 2010-02-28 "NHS Fife" 6220 5958 262 17 1
"439" 2010-02-28 "NHS Forth Valley" 5301 5068 233 10 0
"440" 2010-02-28 "NHS Grampian" 10268 9894 374 43 9
"441" 2010-02-28 "NHS Greater Glasgow & Clyde" 34435 33193 1242 38 1
"442" 2010-02-28 "NHS Highland" 6189 6032 157 1 0
"443" 2010-02-28 "NHS Lanarkshire" 14050 13919 131 3 0
"444" 2010-02-28 "NHS Lothian" 17265 16109 1156 149 34
"445" 2010-02-28 "NHS Orkney" 208 205 3 * *
"446" 2010-02-28 "NHS Shetland" 587 584 3 0 0
"447" 2010-02-28 "NHS Tayside" 7879 7811 68 0 0
"448" 2010-02-28 "NHS Western Isles" 521 515 6 0 0
"449" 2010-03-31 "NHS Ayrshire & Arran" 9892 9573 319 6 0
"450" 2010-03-31 "NHS Borders" 2132 2070 62 1 0
"451" 2010-03-31 "NHS Dumfries & Galloway" 4211 4035 176 5 0
"452" 2010-03-31 "NHS Fife" 7350 7150 200 10 0
"453" 2010-03-31 "NHS Forth Valley" 6289 6073 216 5 0
"454" 2010-03-31 "NHS Grampian" 12069 11749 320 38 6
"455" 2010-03-31 "NHS Greater Glasgow & Clyde" 41119 39299 1820 58 3
"456" 2010-03-31 "NHS Highland" 7087 6968 119 0 0
"457" 2010-03-31 "NHS Lanarkshire" 16164 15955 209 4 0
"458" 2010-03-31 "NHS Lothian" 20623 19318 1305 142 26
"459" 2010-03-31 "NHS Orkney" 226 226 0 * *
"460" 2010-03-31 "NHS Shetland" 681 679 2 0 0
"461" 2010-03-31 "NHS Tayside" 9220 9149 71 0 0
"462" 2010-03-31 "NHS Western Isles" 632 628 4 0 0
"463" 2010-04-30 "NHS Ayrshire & Arran" 9709 9506 203 3 0
"464" 2010-04-30 "NHS Borders" 2117 2099 18 0 0
"465" 2010-04-30 "NHS Dumfries & Galloway" 4419 4214 205 5 0
"466" 2010-04-30 "NHS Fife" 7358 7131 227 9 0
"467" 2010-04-30 "NHS Forth Valley" 6450 6150 300 9 1
"468" 2010-04-30 "NHS Grampian" 12097 11784 313 30 4
"469" 2010-04-30 "NHS Greater Glasgow & Clyde" 39349 38061 1288 37 1
"470" 2010-04-30 "NHS Highland" 7740 7633 107 7 2
"471" 2010-04-30 "NHS Lanarkshire" 16548 16338 210 1 0
"472" 2010-04-30 "NHS Lothian" 19583 18601 982 79 13
"473" 2010-04-30 "NHS Orkney" 223 223 0 * *
"474" 2010-04-30 "NHS Shetland" 642 641 1 0 0
"475" 2010-04-30 "NHS Tayside" 9618 9571 47 0 0
"476" 2010-04-30 "NHS Western Isles" 650 647 3 0 0
"477" 2010-05-31 "NHS Ayrshire & Arran" 10558 10352 206 3 0
"478" 2010-05-31 "NHS Borders" 2315 2281 34 0 0
"479" 2010-05-31 "NHS Dumfries & Galloway" 4609 4361 248 5 0
"480" 2010-05-31 "NHS Fife" 8176 7802 374 29 6
"481" 2010-05-31 "NHS Forth Valley" 7167 6797 370 14 1
"482" 2010-05-31 "NHS Grampian" 12846 12707 139 3 0
"483" 2010-05-31 "NHS Greater Glasgow & Clyde" 43022 41655 1367 25 0
"484" 2010-05-31 "NHS Highland" 9137 9015 122 4 2
"485" 2010-05-31 "NHS Lanarkshire" 17886 17541 345 6 0
"486" 2010-05-31 "NHS Lothian" 21256 20484 772 70 13
"487" 2010-05-31 "NHS Orkney" 321 319 2 * *
"488" 2010-05-31 "NHS Shetland" 804 804 0 0 0
"489" 2010-05-31 "NHS Tayside" 10737 10588 149 1 0
"490" 2010-05-31 "NHS Western Isles" 696 690 6 0 0
"491" 2010-06-30 "NHS Ayrshire & Arran" 10209 10015 194 8 0
"492" 2010-06-30 "NHS Borders" 2248 2207 41 1 0
"493" 2010-06-30 "NHS Dumfries & Galloway" 4512 4347 165 1 1
"494" 2010-06-30 "NHS Fife" 7828 7514 314 30 1
"495" 2010-06-30 "NHS Forth Valley" 6710 6391 319 10 2
"496" 2010-06-30 "NHS Grampian" 12527 12399 128 10 0
"497" 2010-06-30 "NHS Greater Glasgow & Clyde" 40936 39758 1178 32 0
"498" 2010-06-30 "NHS Highland" 9062 8972 90 2 0
"499" 2010-06-30 "NHS Lanarkshire" 16880 16607 273 4 0
"500" 2010-06-30 "NHS Lothian" 20243 19303 940 84 8
"501" 2010-06-30 "NHS Orkney" 301 300 1 * *
"502" 2010-06-30 "NHS Shetland" 819 813 6 0 0
"503" 2010-06-30 "NHS Tayside" 9944 9875 69 0 0
"504" 2010-06-30 "NHS Western Isles" 723 722 1 0 0
"505" 2010-07-31 "NHS Ayrshire & Arran" 9762 9555 207 4 0
"506" 2010-07-31 "NHS Borders" 2142 2122 20 0 0
"507" 2010-07-31 "NHS Dumfries & Galloway" 4341 4188 153 2 0
"508" 2010-07-31 "NHS Fife" 7331 7028 303 20 1
"509" 2010-07-31 "NHS Forth Valley" 6175 6016 159 3 0
"510" 2010-07-31 "NHS Grampian" 11783 11681 102 4 0
"511" 2010-07-31 "NHS Greater Glasgow & Clyde" 38048 37218 830 15 3
"512" 2010-07-31 "NHS Highland" 8746 8666 80 0 0
"513" 2010-07-31 "NHS Lanarkshire" 15956 15626 330 24 2
"514" 2010-07-31 "NHS Lothian" 18818 18200 618 57 1
"515" 2010-07-31 "NHS Orkney" 293 291 2 * *
"516" 2010-07-31 "NHS Shetland" 727 725 2 0 0
"517" 2010-07-31 "NHS Tayside" 9694 9629 65 1 0
"518" 2010-07-31 "NHS Western Isles" 766 760 6 0 0
"519" 2010-08-31 "NHS Ayrshire & Arran" 10601 10132 469 10 0
"520" 2010-08-31 "NHS Borders" 2224 2185 39 0 0
"521" 2010-08-31 "NHS Dumfries & Galloway" 4552 4377 175 4 0
"522" 2010-08-31 "NHS Fife" 7559 7208 351 18 0
"523" 2010-08-31 "NHS Forth Valley" 6821 6639 182 5 0
"524" 2010-08-31 "NHS Grampian" 12467 12224 243 16 2
"525" 2010-08-31 "NHS Greater Glasgow & Clyde" 41163 39981 1182 17 0
"526" 2010-08-31 "NHS Highland" 9240 9090 150 2 0
"527" 2010-08-31 "NHS Lanarkshire" 16978 16591 387 18 0
"528" 2010-08-31 "NHS Lothian" 20827 19765 1062 85 7
"529" 2010-08-31 "NHS Orkney" 298 291 7 * *
"530" 2010-08-31 "NHS Shetland" 710 707 3 0 0
"531" 2010-08-31 "NHS Tayside" 10189 10060 129 2 0
"532" 2010-08-31 "NHS Western Isles" 724 715 9 0 0
"533" 2010-09-30 "NHS Ayrshire & Arran" 9704 9436 268 2 0
"534" 2010-09-30 "NHS Borders" 2156 2122 34 2 0
"535" 2010-09-30 "NHS Dumfries & Galloway" 4077 3904 173 0 0
"536" 2010-09-30 "NHS Fife" 7418 7040 378 31 4
"537" 2010-09-30 "NHS Forth Valley" 6444 6064 380 21 0
"538" 2010-09-30 "NHS Grampian" 12160 11970 190 15 3
"539" 2010-09-30 "NHS Greater Glasgow & Clyde" 38938 37799 1139 21 0
"540" 2010-09-30 "NHS Highland" 8093 7987 106 2 0
"541" 2010-09-30 "NHS Lanarkshire" 16202 15769 433 22 0
"542" 2010-09-30 "NHS Lothian" 20138 19412 726 61 17
"543" 2010-09-30 "NHS Orkney" 289 289 0 * *
"544" 2010-09-30 "NHS Shetland" 713 712 1 0 0
"545" 2010-09-30 "NHS Tayside" 9593 9492 101 5 0
"546" 2010-09-30 "NHS Western Isles" 705 693 12 0 0
"547" 2010-10-31 "NHS Ayrshire & Arran" 9419 9233 186 8 3
"548" 2010-10-31 "NHS Borders" 2119 2078 41 1 0
"549" 2010-10-31 "NHS Dumfries & Galloway" 3795 3659 136 3 0
"550" 2010-10-31 "NHS Fife" 6978 6740 238 17 2
"551" 2010-10-31 "NHS Forth Valley" 6150 5768 382 9 0
"552" 2010-10-31 "NHS Grampian" 11485 11339 146 5 1
"553" 2010-10-31 "NHS Greater Glasgow & Clyde" 37885 36282 1603 64 0
"554" 2010-10-31 "NHS Highland" 7319 7157 162 4 0
"555" 2010-10-31 "NHS Lanarkshire" 15632 14994 638 92 35
"556" 2010-10-31 "NHS Lothian" 19888 19233 655 55 1
"557" 2010-10-31 "NHS Orkney" 296 295 1 * *
"558" 2010-10-31 "NHS Shetland" 694 690 4 1 0
"559" 2010-10-31 "NHS Tayside" 9572 9503 69 0 0
"560" 2010-10-31 "NHS Western Isles" 665 656 9 0 0
"561" 2010-11-30 "NHS Ayrshire & Arran" 8810 8636 174 4 0
"562" 2010-11-30 "NHS Borders" 1896 1837 59 4 1
"563" 2010-11-30 "NHS Dumfries & Galloway" 3676 3541 135 3 1
"564" 2010-11-30 "NHS Fife" 6251 5870 381 98 20
"565" 2010-11-30 "NHS Forth Valley" 5424 5071 353 21 1
"566" 2010-11-30 "NHS Grampian" 10800 10541 259 18 2
"567" 2010-11-30 "NHS Greater Glasgow & Clyde" 36743 34607 2136 140 10
"568" 2010-11-30 "NHS Highland" 6568 6448 120 6 0
"569" 2010-11-30 "NHS Lanarkshire" 14586 13997 589 86 23
"570" 2010-11-30 "NHS Lothian" 18578 18100 478 27 1
"571" 2010-11-30 "NHS Orkney" 188 188 0 * *
"572" 2010-11-30 "NHS Shetland" 608 608 0 0 0
"573" 2010-11-30 "NHS Tayside" 8311 8256 55 0 0
"574" 2010-11-30 "NHS Western Isles" 580 568 12 0 0
"575" 2010-12-31 "NHS Ayrshire & Arran" 9018 8819 199 3 1
"576" 2010-12-31 "NHS Borders" 1964 1856 108 10 0
"577" 2010-12-31 "NHS Dumfries & Galloway" 3772 3582 190 7 1
"578" 2010-12-31 "NHS Fife" 6408 5742 666 165 55
"579" 2010-12-31 "NHS Forth Valley" 5695 5168 527 12 0
"580" 2010-12-31 "NHS Grampian" 10428 10137 291 23 5
"581" 2010-12-31 "NHS Greater Glasgow & Clyde" 36020 33742 2278 91 1
"582" 2010-12-31 "NHS Highland" 6597 6487 110 3 0
"583" 2010-12-31 "NHS Lanarkshire" 13952 13356 596 83 18
"584" 2010-12-31 "NHS Lothian" 18195 16982 1213 179 11
"585" 2010-12-31 "NHS Orkney" 215 211 4 * *
"586" 2010-12-31 "NHS Shetland" 673 671 2 0 0
"587" 2010-12-31 "NHS Tayside" 8230 8136 94 4 0
"588" 2010-12-31 "NHS Western Isles" 607 592 15 0 0
"589" 2011-01-31 "NHS Ayrshire & Arran" 9707 9141 566 20 0
"590" 2011-01-31 "NHS Borders" 2252 2168 84 4 1
"591" 2011-01-31 "NHS Dumfries & Galloway" 4080 3880 200 3 0
"592" 2011-01-31 "NHS Fife" 7235 6524 711 182 61
"593" 2011-01-31 "NHS Forth Valley" 5989 5359 630 57 6
"594" 2011-01-31 "NHS Grampian" 11884 11509 375 52 6
"595" 2011-01-31 "NHS Greater Glasgow & Clyde" 38747 35273 3474 285 11
"596" 2011-01-31 "NHS Highland" 7039 6906 133 1 0
"597" 2011-01-31 "NHS Lanarkshire" 15871 14565 1306 245 100
"598" 2011-01-31 "NHS Lothian" 19662 18792 870 96 2
"599" 2011-01-31 "NHS Orkney" 217 217 0 * *
"600" 2011-01-31 "NHS Shetland" 692 685 7 0 0
"601" 2011-01-31 "NHS Tayside" 9706 9586 120 4 0
"602" 2011-01-31 "NHS Western Isles" 610 599 11 0 0
"603" 2011-02-28 "NHS Ayrshire & Arran" 8553 8122 431 22 2
"604" 2011-02-28 "NHS Borders" 1777 1729 48 2 0
"605" 2011-02-28 "NHS Dumfries & Galloway" 3560 3400 160 4 0
"606" 2011-02-28 "NHS Fife" 6300 5848 452 63 16
"607" 2011-02-28 "NHS Forth Valley" 5357 4946 411 16 1
"608" 2011-02-28 "NHS Grampian" 10324 10132 192 16 0
"609" 2011-02-28 "NHS Greater Glasgow & Clyde" 35172 32275 2897 262 9
"610" 2011-02-28 "NHS Highland" 6465 6384 81 2 1
"611" 2011-02-28 "NHS Lanarkshire" 14328 13578 750 67 17
"612" 2011-02-28 "NHS Lothian" 18323 17796 527 38 2
"613" 2011-02-28 "NHS Orkney" 163 162 1 * *
"614" 2011-02-28 "NHS Shetland" 602 600 2 0 0
"615" 2011-02-28 "NHS Tayside" 8143 8092 51 0 0
"616" 2011-02-28 "NHS Western Isles" 572 551 21 0 0
"617" 2011-03-31 "NHS Ayrshire & Arran" 10038 9668 370 10 0
"618" 2011-03-31 "NHS Borders" 2275 2205 70 0 0
"619" 2011-03-31 "NHS Dumfries & Galloway" 3822 3659 163 5 0
"620" 2011-03-31 "NHS Fife" 7514 7021 493 85 32
"621" 2011-03-31 "NHS Forth Valley" 6224 5835 389 21 1
"622" 2011-03-31 "NHS Grampian" 12150 11910 240 24 2
"623" 2011-03-31 "NHS Greater Glasgow & Clyde" 39935 37403 2532 179 2
"624" 2011-03-31 "NHS Highland" 7386 7294 92 2 2
"625" 2011-03-31 "NHS Lanarkshire" 16783 15405 1378 127 31
"626" 2011-03-31 "NHS Lothian" 21245 20662 583 39 4
"627" 2011-03-31 "NHS Orkney" 252 251 1 * *
"628" 2011-03-31 "NHS Shetland" 685 684 1 0 0
"629" 2011-03-31 "NHS Tayside" 9032 8940 92 0 0
"630" 2011-03-31 "NHS Western Isles" 649 631 18 0 0
"631" 2011-04-30 "NHS Ayrshire & Arran" 10233 9964 269 10 1
"632" 2011-04-30 "NHS Borders" 2241 2211 30 0 0
"633" 2011-04-30 "NHS Dumfries & Galloway" 4149 3981 168 1 0
"634" 2011-04-30 "NHS Fife" 7938 7169 769 144 49
"635" 2011-04-30 "NHS Forth Valley" 6354 6053 301 7 0
"636" 2011-04-30 "NHS Grampian" 12529 12298 231 18 2
"637" 2011-04-30 "NHS Greater Glasgow & Clyde" 38416 36453 1963 98 0
"638" 2011-04-30 "NHS Highland" 8439 8340 99 2 0
"639" 2011-04-30 "NHS Lanarkshire" 16291 15173 1118 81 17
"640" 2011-04-30 "NHS Lothian" 20534 19901 633 38 2
"641" 2011-04-30 "NHS Orkney" 262 260 2 * *
"642" 2011-04-30 "NHS Shetland" 729 726 3 1 0
"643" 2011-04-30 "NHS Tayside" 10501 10368 133 3 0
"644" 2011-04-30 "NHS Western Isles" 704 687 17 1 0
"645" 2011-05-31 "NHS Ayrshire & Arran" 10491 10159 332 6 1
"646" 2011-05-31 "NHS Borders" 2349 2297 52 0 0
"647" 2011-05-31 "NHS Dumfries & Galloway" 4090 3917 173 4 1
"648" 2011-05-31 "NHS Fife" 7960 7391 569 113 34
"649" 2011-05-31 "NHS Forth Valley" 6696 6352 344 2 0
"650" 2011-05-31 "NHS Grampian" 13043 12803 240 13 3
"651" 2011-05-31 "NHS Greater Glasgow & Clyde" 39638 37653 1985 76 1
"652" 2011-05-31 "NHS Highland" 8561 8458 103 5 0
"653" 2011-05-31 "NHS Lanarkshire" 16789 15497 1292 193 76
"654" 2011-05-31 "NHS Lothian" 21399 20798 601 49 2
"655" 2011-05-31 "NHS Orkney" 301 301 0 * *
"656" 2011-05-31 "NHS Shetland" 790 789 1 1 1
"657" 2011-05-31 "NHS Tayside" 10485 10377 108 2 0
"658" 2011-05-31 "NHS Western Isles" 718 705 13 0 0
"659" 2011-06-30 "NHS Ayrshire & Arran" 10326 9928 398 11 0
"660" 2011-06-30 "NHS Borders" 2280 2256 24 0 0
"661" 2011-06-30 "NHS Dumfries & Galloway" 4023 3874 149 2 0
"662" 2011-06-30 "NHS Fife" 7700 7152 548 82 20
"663" 2011-06-30 "NHS Forth Valley" 6203 5834 369 7 0
"664" 2011-06-30 "NHS Grampian" 12059 11831 228 13 1
"665" 2011-06-30 "NHS Greater Glasgow & Clyde" 37990 36328 1662 44 1
"666" 2011-06-30 "NHS Highland" 8524 8407 117 6 1
"667" 2011-06-30 "NHS Lanarkshire" 16041 14861 1180 80 12
"668" 2011-06-30 "NHS Lothian" 20467 19791 676 48 3
"669" 2011-06-30 "NHS Orkney" 243 242 1 0 0
"670" 2011-06-30 "NHS Shetland" 766 762 4 0 0
"671" 2011-06-30 "NHS Tayside" 9689 9567 122 0 0
"672" 2011-06-30 "NHS Western Isles" 742 731 11 0 0
"673" 2011-07-31 "NHS Ayrshire & Arran" 10540 10273 267 3 0
"674" 2011-07-31 "NHS Borders" 2213 2203 10 0 0
"675" 2011-07-31 "NHS Dumfries & Galloway" 4244 4114 130 2 0
"676" 2011-07-31 "NHS Fife" 8010 7626 384 26 9
"677" 2011-07-31 "NHS Forth Valley" 6441 6036 405 12 0
"678" 2011-07-31 "NHS Grampian" 12251 12054 197 8 0
"679" 2011-07-31 "NHS Greater Glasgow & Clyde" 39332 38215 1117 17 0
"680" 2011-07-31 "NHS Highland" 9192 9098 94 3 0
"681" 2011-07-31 "NHS Lanarkshire" 16273 15662 611 28 7
"682" 2011-07-31 "NHS Lothian" 20387 19711 676 48 6
"683" 2011-07-31 "NHS Orkney" 256 255 1 0 0
"684" 2011-07-31 "NHS Shetland" 803 801 2 0 0
"685" 2011-07-31 "NHS Tayside" 10028 9912 116 3 0
"686" 2011-07-31 "NHS Western Isles" 929 907 22 0 0
"687" 2011-08-31 "NHS Ayrshire & Arran" 10429 10024 405 10 2
"688" 2011-08-31 "NHS Borders" 2317 2292 25 1 0
"689" 2011-08-31 "NHS Dumfries & Galloway" 4233 4071 162 4 1
"690" 2011-08-31 "NHS Fife" 7729 7404 325 20 0
"691" 2011-08-31 "NHS Forth Valley" 6216 5900 316 6 0
"692" 2011-08-31 "NHS Grampian" 12378 12098 280 8 1
"693" 2011-08-31 "NHS Greater Glasgow & Clyde" 38760 37640 1120 17 0
"694" 2011-08-31 "NHS Highland" 8906 8800 106 3 0
"695" 2011-08-31 "NHS Lanarkshire" 16508 15649 859 50 7
"696" 2011-08-31 "NHS Lothian" 20862 20367 495 35 8
"697" 2011-08-31 "NHS Orkney" 215 214 1 0 0
"698" 2011-08-31 "NHS Shetland" 692 684 8 0 0
"699" 2011-08-31 "NHS Tayside" 9985 9881 104 0 0
"700" 2011-08-31 "NHS Western Isles" 847 837 10 0 0
"701" 2011-09-30 "NHS Ayrshire & Arran" 10019 9522 497 11 1
"702" 2011-09-30 "NHS Borders" 2187 2135 52 0 0
"703" 2011-09-30 "NHS Dumfries & Galloway" 3919 3717 202 2 0
"704" 2011-09-30 "NHS Fife" 7762 7207 555 83 15
"705" 2011-09-30 "NHS Forth Valley" 6218 5718 500 26 0
"706" 2011-09-30 "NHS Grampian" 12537 12192 345 27 4
"707" 2011-09-30 "NHS Greater Glasgow & Clyde" 38910 37378 1532 40 0
"708" 2011-09-30 "NHS Highland" 8830 8715 115 2 0
"709" 2011-09-30 "NHS Lanarkshire" 16276 15248 1028 56 11
"710" 2011-09-30 "NHS Lothian" 20629 20025 604 49 8
"711" 2011-09-30 "NHS Orkney" 142 141 1 0 0
"712" 2011-09-30 "NHS Shetland" 637 635 2 0 0
"713" 2011-09-30 "NHS Tayside" 9782 9648 134 0 0
"714" 2011-09-30 "NHS Western Isles" 713 692 21 0 0
"715" 2011-10-31 "NHS Ayrshire & Arran" 9607 9136 471 11 2
"716" 2011-10-31 "NHS Borders" 2279 2240 39 2 0
"717" 2011-10-31 "NHS Dumfries & Galloway" 3788 3671 117 1 0
"718" 2011-10-31 "NHS Fife" 7420 6833 587 105 33
"719" 2011-10-31 "NHS Forth Valley" 5992 5698 294 9 0
"720" 2011-10-31 "NHS Grampian" 11900 11589 311 22 4
"721" 2011-10-31 "NHS Greater Glasgow & Clyde" 38089 36053 2036 125 1
"722" 2011-10-31 "NHS Highland" 7616 7488 128 4 0
"723" 2011-10-31 "NHS Lanarkshire" 16009 15242 767 38 5
"724" 2011-10-31 "NHS Lothian" 20617 19937 680 48 4
"725" 2011-10-31 "NHS Orkney" 142 142 0 0 0
"726" 2011-10-31 "NHS Shetland" 648 643 5 0 0
"727" 2011-10-31 "NHS Tayside" 9539 9478 61 0 0
"728" 2011-10-31 "NHS Western Isles" 683 661 22 0 0
"729" 2011-11-30 "NHS Ayrshire & Arran" 9140 8932 208 5 0
"730" 2011-11-30 "NHS Borders" 1979 1962 17 0 0
"731" 2011-11-30 "NHS Dumfries & Galloway" 3495 3377 118 4 0
"732" 2011-11-30 "NHS Fife" 6827 6317 510 66 20
"733" 2011-11-30 "NHS Forth Valley" 5621 5478 143 1 0
"734" 2011-11-30 "NHS Grampian" 11473 11182 291 23 4
"735" 2011-11-30 "NHS Greater Glasgow & Clyde" 36562 34981 1581 37 0
"736" 2011-11-30 "NHS Highland" 7017 6934 83 4 0
"737" 2011-11-30 "NHS Lanarkshire" 15123 14529 594 85 12
"738" 2011-11-30 "NHS Lothian" 20115 19043 1072 103 11
"739" 2011-11-30 "NHS Orkney" 167 163 4 0 0
"740" 2011-11-30 "NHS Shetland" 631 629 2 0 0
"741" 2011-11-30 "NHS Tayside" 8615 8491 124 2 0
"742" 2011-11-30 "NHS Western Isles" 624 615 9 0 0
"743" 2011-12-31 "NHS Ayrshire & Arran" 9310 8791 519 27 3
"744" 2011-12-31 "NHS Borders" 2032 1988 44 0 0
"745" 2011-12-31 "NHS Dumfries & Galloway" 3461 3328 133 4 1
"746" 2011-12-31 "NHS Fife" 7106 5999 1107 268 46
"747" 2011-12-31 "NHS Forth Valley" 5718 5359 359 5 0
"748" 2011-12-31 "NHS Grampian" 11973 11600 373 46 10
"749" 2011-12-31 "NHS Greater Glasgow & Clyde" 36707 34836 1871 57 0
"750" 2011-12-31 "NHS Highland" 7229 7113 116 2 0
"751" 2011-12-31 "NHS Lanarkshire" 15235 14471 764 40 2
"752" 2011-12-31 "NHS Lothian" 19744 18413 1331 161 16
"753" 2011-12-31 "NHS Orkney" 170 168 2 0 0
"754" 2011-12-31 "NHS Shetland" 643 640 3 0 0
"755" 2011-12-31 "NHS Tayside" 9215 9073 142 7 0
"756" 2011-12-31 "NHS Western Isles" 708 680 28 1 0
"757" 2012-01-31 "NHS Ayrshire & Arran" 9488 8921 567 15 0
"758" 2012-01-31 "NHS Borders" 2122 2043 79 4 0
"759" 2012-01-31 "NHS Dumfries & Galloway" 3668 3487 181 3 0
"760" 2012-01-31 "NHS Fife" 6872 6087 785 200 69
"761" 2012-01-31 "NHS Forth Valley" 5872 5511 361 11 1
"762" 2012-01-31 "NHS Grampian" 11240 10747 493 63 11
"763" 2012-01-31 "NHS Greater Glasgow & Clyde" 37014 34746 2268 130 2
"764" 2012-01-31 "NHS Highland" 6933 6806 127 2 0
"765" 2012-01-31 "NHS Lanarkshire" 15579 14865 714 54 10
"766" 2012-01-31 "NHS Lothian" 19902 18309 1593 196 34
"767" 2012-01-31 "NHS Orkney" 197 193 4 0 0
"768" 2012-01-31 "NHS Shetland" 633 630 3 1 0
"769" 2012-01-31 "NHS Tayside" 8881 8767 114 3 1
"770" 2012-01-31 "NHS Western Isles" 629 612 17 0 0
"771" 2012-02-29 "NHS Ayrshire & Arran" 9107 8682 425 7 0
"772" 2012-02-29 "NHS Borders" 2083 2006 77 6 0
"773" 2012-02-29 "NHS Dumfries & Galloway" 3522 3368 154 0 0
"774" 2012-02-29 "NHS Fife" 6702 5934 768 228 55
"775" 2012-02-29 "NHS Forth Valley" 5615 5264 351 17 0
"776" 2012-02-29 "NHS Grampian" 11304 10936 368 50 4
"777" 2012-02-29 "NHS Greater Glasgow & Clyde" 36704 34632 2072 146 0
"778" 2012-02-29 "NHS Highland" 6761 6601 160 4 0
"779" 2012-02-29 "NHS Lanarkshire" 15424 14686 738 92 22
"780" 2012-02-29 "NHS Lothian" 19686 17826 1860 199 24
"781" 2012-02-29 "NHS Orkney" 189 188 1 0 0
"782" 2012-02-29 "NHS Shetland" 603 601 2 1 0
"783" 2012-02-29 "NHS Tayside" 8678 8608 70 3 1
"784" 2012-02-29 "NHS Western Isles" 634 620 14 0 0
"785" 2012-03-31 "NHS Ayrshire & Arran" 10845 10311 534 20 12
"786" 2012-03-31 "NHS Borders" 2446 2358 88 6 0
"787" 2012-03-31 "NHS Dumfries & Galloway" 4221 3972 249 5 0
"788" 2012-03-31 "NHS Fife" 7771 7306 465 65 6
"789" 2012-03-31 "NHS Forth Valley" 6888 6356 532 13 0
"790" 2012-03-31 "NHS Grampian" 13425 13042 383 22 0
"791" 2012-03-31 "NHS Greater Glasgow & Clyde" 42090 39972 2118 65 1
"792" 2012-03-31 "NHS Highland" 8006 7879 127 5 0
"793" 2012-03-31 "NHS Lanarkshire" 17826 17102 724 53 7
"794" 2012-03-31 "NHS Lothian" 22715 21217 1498 134 12
"795" 2012-03-31 "NHS Orkney" 207 206 1 1 0
"796" 2012-03-31 "NHS Shetland" 665 664 1 0 0
"797" 2012-03-31 "NHS Tayside" 9824 9730 94 0 0
"798" 2012-03-31 "NHS Western Isles" 746 729 17 0 0
"799" 2012-04-30 "NHS Ayrshire & Arran" 10407 9752 655 50 8
"800" 2012-04-30 "NHS Borders" 2224 2071 153 11 0
"801" 2012-04-30 "NHS Dumfries & Galloway" 4184 3882 302 6 0
"802" 2012-04-30 "NHS Fife" 7193 6636 557 81 12
"803" 2012-04-30 "NHS Forth Valley" 6343 5927 416 15 0
"804" 2012-04-30 "NHS Grampian" 11570 11109 461 62 7
"805" 2012-04-30 "NHS Greater Glasgow & Clyde" 39586 37189 2397 108 1
"806" 2012-04-30 "NHS Highland" 8123 7957 166 2 0
"807" 2012-04-30 "NHS Lanarkshire" 16375 15548 827 77 16
"808" 2012-04-30 "NHS Lothian" 20541 18677 1864 225 51
"809" 2012-04-30 "NHS Orkney" 254 253 1 0 0
"810" 2012-04-30 "NHS Shetland" 636 633 3 0 0
